J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
1,0.0102985, ,,,,
2,0.0102993, ,,,,
3,0.0102652, ,,,,
4,0.0102603, ,,,,
5,0.0102532, ,,,,
6,0.0102456, ,,,,
7,0.0102398, ,,,,
8,0.0102371,0.0102446, ,,,
9,0.0102348,0.0102388,-5.81E-06, ,,
10,0.0102321,0.0102328,-5.96E-06, ,,
11,0.0102293,0.0102291,-3.69E-06, ,,
12,0.0102249,0.0102258,-3.31E-06, ,,
13,0.0102199,0.0102231,-2.78E-06, ,,
14,0.0102159,0.0102209,-2.19E-06, ,,
15,0.0102132,0.0102191,-1.80E-06, ,,
16,0.0102113,0.0102174,-1.71E-06,-2.41E-06,,
17,0.01021,0.0102157,-1.66E-06,-2.08E-06,3.32E-07,
18,0.0102099,0.0102141,-1.57E-06,-1.74E-06,3.42E-07,
19,0.0102107,0.0102126,-1.51E-06,-1.55E-06,1.85E-07,
20,0.0102115,0.0102113,-1.33E-06,-1.40E-06,1.51E-07,
21,0.0102128,0.0102102,-1.10E-06,-1.30E-06,1.02E-07,
22,0.0102127,0.0102093,-9.18E-07,-1.25E-06,4.52E-08,
23,0.0102113,0.0102085,-8.30E-07,-1.25E-06,5.89E-09,
24,0.0102099,0.0102076,-8.30E-07,-1.25E-06,-1.95E-09,8.67E-08
25,0.0102086,0.0102068,-8.30E-07,-1.25E-06,-3.92E-09,6.75E-08
26,0.0102067,0.0102059,-9.18E-07,-1.25E-06,0,4.70E-08
27,0.0102049,0.0102048,-1.04E-06,-1.24E-06,1.38E-08,3.65E-08
28,0.0102035,0.0102036,-1.24E-06,-1.22E-06,2.16E-08,2.72E-08
29,0.0102021,0.0102021,-1.51E-06,-1.19E-06,2.75E-08,2.07E-08
30,0.0102007,0.0102004,-1.71E-06,-1.15E-06,3.73E-08,1.77E-08
31,0.0101989,0.0101986,-1.74E-06,-1.11E-06,4.32E-08,1.64E-08
32,0.0101975,0.0101969,-1.71E-06,-1.07E-06,4.32E-08,1.39E-08
33,0.0101961,0.0101953,-1.57E-06,-1.03E-06,3.54E-08,1.03E-08
34,0.0101952,0.010194,-1.30E-06,-1.00E-06,2.75E-08,5.11E-09
35,0.0101929,0.010193,-1.01E-06,-9.91E-07,1.18E-08,-3.41E-09
