i, Z, Z dot, Z dot dot, Min Z dot dot L, Min Z dot dot L i, Maz Z dot dot, Maz Z dot dot i, Min Z dot dot R, Min Z dot dot R i
 22, 27.127
23, 27.1322, 0.00527501
24, 27.127, -0.00522099, -0.010496, -0.010496, 24, -0.010496, 24, -0.010496, 24
25, 27.1403, 0.0132751, 0.0184961, 0.0184961, 25, 0.0184961, 25, 0.0184961, 25
26, 27.1526, 0.0122767, -0.000998378, -0.000998378, 26, -0.000998378, 26, -0.000998378, 26
27, 27.1593, 0.00677817, -0.00549853, -0.00549853, 27, -0.00549853, 27, -0.00549853, 27
28, 27.1666, 0.00727735, 0.000499189, 0.000499189, 28, 0.000499189, 28, 0.000499189, 28
29, 27.1734, 0.00677817, -0.000499189, -0.000499189, 29, -0.000499189, 29, -0.000499189, 29
30, 27.1777, 0.00427663, -0.00250153, -0.00250153, 30, -0.00250153, 30, -0.00250153, 30
31, 27.1804, 0.0027772, -0.00149943, -0.00250153, 30, -0.00149943, 31, -0.00149943, 31
32, 27.1812, 0.000776723, -0.00200048, -0.00250153, 30, -0.00149943, 31, -0.00200048, 32
33, 27.182, 0.000776723, 0, -0.00250153, 30, 0, 33, 0, 33
34, 27.1818, -0.000221655, -0.000998378, -0.00250153, 30, 0, 33, -0.000998378, 34
35, 27.1811, -0.000722706, -0.000501052, -0.00250153, 30, 0, 33, -0.000998378, 34
36, 27.1793, -0.00172295, -0.00100024, -0.00250153, 30, 0, 33, -0.00100024, 36
37, 27.1776, -0.00172108, 1.86265e-06, -0.00250153, 30, 1.86265e-06, 37, 1.86265e-06, 37
38, 27.1759, -0.00172295, -1.86265e-06, -0.00250153, 30, 1.86265e-06, 37, -1.86265e-06, 38
39, 27.1747, -0.00122376, 0.000499189, -0.00250153, 30, 0.000499189, 39, 0.000499189, 39
40, 27.1739, -0.000720844, 0.000502914, -0.00250153, 30, 0.000502914, 40, 0.000502914, 40
41, 27.1727, -0.00122376, -0.000502914, -0.00250153, 30, 0.000502914, 40, -0.000502914, 41
