J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
1,0.0102, ,,,,
2,0.0101916, ,,,,
3,0.0101928, ,,,,
4,0.0101906, ,,,,
5,0.0101906,0.0101895, ,,,
6,0.0101892,0.0101872,-2.35E-06, ,,
7,0.0101865,0.0101856,-1.61E-06, ,,
8,0.0101834,0.0101838,-1.81E-06, ,,
9,0.0101811,0.0101821,-1.61E-06, ,,
10,0.0101789,0.0101805,-1.66E-06,-1.37E-06,,
11,0.010177,0.0101791,-1.42E-06,-1.12E-06,2.51E-07,
12,0.0101766,0.0101781,-9.75E-07,-9.42E-07,1.80E-07,
13,0.0101761,0.0101775,-5.81E-07,-7.56E-07,1.86E-07,
14,0.0101756,0.0101772,-3.36E-07,-6.03E-07,1.53E-07,
15,0.0101764,0.0101771,-9.04E-08,-4.45E-07,1.58E-07,2.65E-07
16,0.0101777,0.0101771,7.86E-09,-3.30E-07,1.15E-07,1.83E-07
17,0.0101781,0.0101769,-1.39E-07,-2.81E-07,4.91E-08,1.17E-07
18,0.0101781,0.0101767,-2.38E-07,-2.81E-07,-2.30E-11,5.73E-08
19,0.010178,0.0101765,-2.38E-07,-3.14E-07,-3.28E-08,9.55E-09
20,0.0101771,0.0101761,-3.85E-07,-3.90E-07,-7.64E-08,-4.23E-08
21,0.0101753,0.0101756,-5.33E-07,-4.72E-07,-8.19E-08,-8.33E-08
22,0.0101739,0.010175,-5.82E-07,-5.27E-07,-5.46E-08,-1.11E-07
23,0.0101735,0.0101743,-6.31E-07,-5.65E-07,-3.82E-08,-1.30E-07
24,0.010173,0.0101736,-7.78E-07,-6.14E-07,-4.91E-08,-1.46E-07
25,0.0101729,0.0101728,-7.29E-07,-6.63E-07,-4.92E-08,-1.57E-07
26,0.0101729,0.0101722,-6.31E-07,-7.23E-07,-6.00E-08,-1.77E-07
27,0.0101724,0.0101716,-5.82E-07,-8.00E-07,-7.64E-08,-2.14E-07
28,0.010171,0.0101709,-6.80E-07,-8.98E-07,-9.82E-08,-2.67E-07
29,0.0101706,0.0101701,-8.27E-07,-1.02E-06,-1.20E-07,-3.33E-07
30,0.0101696,0.010169,-1.07E-06,-1.18E-06,-1.64E-07,-4.12E-07
31,0.0101687,0.0101678,-1.27E-06,-1.38E-06,-2.02E-07,-4.95E-07
32,0.0101673,0.0101663,-1.51E-06,-1.64E-06,-2.51E-07,-5.77E-07
33,0.0101655,0.0101644,-1.86E-06,-1.95E-06,-3.11E-07,-6.47E-07
34,0.0101633,0.0101622,-2.20E-06,-2.31E-06,-3.66E-07,-6.95E-07
35,0.0101615,0.0101597,-2.45E-06,-2.70E-06,-3.93E-07,-7.18E-07
36,0.0101588,0.0101569,-2.84E-06,-3.11E-06,-4.04E-07,-7.14E-07
37,0.0101543,0.0101534,-3.48E-06,-3.49E-06,-3.77E-07,-6.65E-07
38,0.0101507,0.0101493,-4.12E-06,-3.80E-06,-3.11E-07,-5.50E-07
39,0.0101476,0.0101447,-4.61E-06,-4.05E-06,-2.57E-07,-3.70E-07
40,0.0101431,0.0101398,-4.90E-06,-4.24E-06,-1.86E-07,-1.41E-07
41,0.010136,0.0101349,-4.90E-06,-4.29E-06,-5.46E-08,1.17E-07
42,0.0101285,0.0101302,-4.66E-06,-4.15E-06,1.47E-07,3.71E-07
43,0.0101218,0.0101257,-4.51E-06,-3.79E-06,3.55E-07,5.88E-07
44,0.0101173,0.0101216,-4.12E-06,-3.27E-06,5.24E-07,7.64E-07
45,0.0101146,0.0101183,-3.33E-06,-2.64E-06,6.28E-07,8.76E-07
46,0.0101124,0.0101161,-2.15E-06,-2.00E-06,6.39E-07,8.92E-07
47,0.0101101,0.0101152,-9.26E-07,-1.44E-06,5.57E-07,7.85E-07
48,0.0101105,0.0101153,1.06E-07,-9.96E-07,4.48E-07,5.54E-07
49,0.0101131,0.010116,7.45E-07,-7.34E-07,2.62E-07,2.21E-07
50,0.0101166,0.0101169,8.43E-07,-7.23E-07,1.09E-08,-1.79E-07
51,0.0101201,0.0101172,3.52E-07,-1.01E-06,-2.84E-07,-5.88E-07
52,0.0101227,0.0101168,-4.83E-07,-1.57E-06,-5.68E-07,-9.44E-07
53,0.010124,0.010115,-1.76E-06,-2.38E-06,-8.08E-07,-1.22E-06
54,0.0101222,0.0101118,-3.23E-06,-3.35E-06,-9.72E-07,-1.38E-06
55,0.0101155,0.010107,-4.71E-06,-4.35E-06,-9.99E-07,-1.40E-06
56,0.0101058,0.010101,-6.03E-06,-5.22E-06,-8.68E-07,-1.27E-06
57,0.0100947,0.0100939,-7.16E-06,-5.88E-06,-6.55E-07,-1.01E-06
58,0.010084,0.0100859,-8.00E-06,-6.24E-06,-3.66E-07,-6.48E-07
59,0.0100743,0.0100777,-8.15E-06,-6.31E-06,-6.55E-08,-2.07E-07
60,0.0100658,0.0100702,-7.46E-06,-6.09E-06,2.18E-07,2.46E-07
61,0.0100583,0.0100639,-6.38E-06,-5.63E-06,4.59E-07,6.40E-07
62,0.010052,0.0100588,-5.05E-06,-4.98E-06,6.55E-07,9.44E-07
63,0.0100489,0.010055,-3.82E-06,-4.18E-06,7.91E-07,1.13E-06
64,0.0100484,0.0100522,-2.74E-06,-3.37E-06,8.13E-07,1.19E-06
65,0.0100484,0.0100503,-1.91E-06,-2.66E-06,7.10E-07,1.14E-06
66,0.0100492,0.0100491,-1.27E-06,-2.10E-06,5.62E-07,9.92E-07
67,0.0100496,0.0100482,-8.76E-07,-1.73E-06,3.71E-07,7.71E-07
