J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
1, 0.0306096, 
2, 0.0306116, 
3, 0.0306056, 
4, 0.0306058, 
5, 0.0306046, 
6, 0.0306039, 
7, 0.0306032, 
8, 0.030603, 0.0305991, 
9, 0.0306014, 0.030597, -2.05313e-06, 
10, 0.030598, 0.0305947, -2.28882e-06, 
11, 0.0305938, 0.0305927, -1.96484e-06, 
12, 0.0305905, 0.0305906, -2.14167e-06, 
13, 0.030588, 0.0305884, -2.22996e-06, 
14, 0.0305851, 0.0305859, -2.46565e-06, 
15, 0.0305817, 0.030583, -2.93727e-06, 
16, 0.0305788, 0.0305794, -3.52661e-06, -3.20042e-06
17, 0.0305772, 0.0305755, -3.90969e-06, -3.28097e-06, -8.05491e-08
 18, 0.0305761, 0.0305714, -4.0864e-06, -3.32616e-06, -4.51919e-08
 19, 0.0305736, 0.0305673, -4.14538e-06, -3.38116e-06, -5.50018e-08
 20, 0.0305712, 0.0305631, -4.17468e-06, -3.41848e-06, -3.73191e-08
 21, 0.0305669, 0.0305589, -4.23367e-06, -3.44795e-06, -2.94712e-08
 22, 0.0305592, 0.0305548, -4.11582e-06, -3.45386e-06, -5.90252e-09
 23, 0.0305501, 0.030551, -3.73274e-06, -3.40475e-06, 4.91076e-08
 24, 0.0305427, 0.0305478, -3.26137e-06, -3.28884e-06, 1.15914e-07, 6.20727e-08
25, 0.0305367, 0.0305448, -2.9667e-06, -3.13756e-06, 1.51272e-07, 6.94068e-08
26, 0.0305316, 0.030542, -2.78987e-06, -2.98041e-06, 1.57158e-07, 7.16337e-08
27, 0.0305278, 0.0305393, -2.70146e-06, -2.82325e-06, 1.57158e-07, 7.30742e-08
28, 0.0305245, 0.0305367, -2.67203e-06, -2.66612e-06, 1.57133e-07, 7.30736e-08
29, 0.0305233, 0.0305341, -2.55418e-06, -2.50505e-06, 1.61065e-07, 7.26812e-08
30, 0.0305257, 0.0305319, -2.20065e-06, -2.36165e-06, 1.43399e-07, 7.01939e-08
31, 0.0305299, 0.0305301, -1.78789e-06, -2.26933e-06, 9.2321e-08, 6.22063e-08
32, 0.0305327, 0.0305285, -1.64062e-06, -2.23987e-06, 2.94629e-08, 4.77985e-08
33, 0.0305343, 0.0305267, -1.72903e-06, -2.25166e-06, -1.17885e-08, 3.09034e-08
34, 0.0305331, 0.030525, -1.78802e-06, -2.28505e-06, -3.33952e-08, 1.54492e-08
35, 0.0305311, 0.0305231, -1.81769e-06, -2.32238e-06, -3.73274e-08, 1.56738e-09
