Width, Slice , Area, Plate , 1st Y, Y, Scanned Length, Volume
22.5054, 0, 43.3777, -3.7604, -224.764, -224.764, 0, 0
21.5337, 2.93802, 36.8732, -3.37862, -224.764, -221.466, 2.93802, 108.334
29.3333, 2.8562, 63.2455, -1.25989, -224.764, -218.261, 5.79422, 288.976
17.7181, 2.64353, 20.4531, -2.30009, -224.764, -215.294, 8.43775, 343.044
20.0912, 2.66418, 31.761, -3.07146, -224.764, -212.304, 11.1019, 427.661
18.7032, 2.88805, 24.0261, -2.52083, -224.764, -209.062, 13.99, 497.05
22.3769, 2.67782, 40.7172, -3.57982, -224.764, -206.057, 16.6678, 606.083
18.6963, 2.71697, 24.8028, -2.50866, -224.764, -203.008, 19.3848, 673.471
23.2548, 2.7227, 45.1097, -3.75518, -224.764, -199.952, 22.1075, 796.292
23.1132, 2.80945, 43.3837, -3.6928, -224.764, -196.799, 24.9169, 918.176
20.3806, 2.72708, 25.3762, -2.51945, -224.764, -193.738, 27.644, 987.379
23.6359, 2.81689, 44.3826, -3.68244, -224.764, -190.577, 30.4609, 1112.4
24.7804, 2.69696, 50.5643, -4.00321, -224.764, -187.55, 33.1579, 1248.77
26.8372, 2.79376, 63.2998, -4.52429, -224.764, -184.414, 35.9516, 1425.61
20.9558, 2.671, 29.8356, -2.80709, -224.764, -181.417, 38.6226, 1505.31
24.0434, 2.93557, 46.3887, -3.75139, -224.764, -178.122, 41.5582, 1641.48
19.568, 2.67582, 19.5285, -2.00603, -224.764, -175.119, 44.234, 1693.74
20.4719, 2.67184, 26.021, -2.52397, -224.764, -172.12, 46.9058, 1763.26
23.3734, 2.66724, 44.3314, -3.64366, -224.764, -169.127, 49.5731, 1881.5
23.9228, 2.94869, 44.4357, -3.67242, -224.764, -165.817, 52.5218, 2012.53
24.2676, 2.61303, 47.423, -3.81815, -224.764, -162.885, 55.1348, 2136.45
20.9019, 2.97171, 25.8458, -2.47798, -224.764, -159.549, 58.1065, 2213.26
29.1413, 2.77022, 39.7434, -2.1051, -224.764, -156.44, 60.8767, 2323.35
25.189, 2.63558, 49.9759, -3.95537, -224.764, -153.482, 63.5123, 2455.07
21.9778, 2.67476, 33.7008, -3.01178, -224.764, -150.48, 66.1871, 2545.21
24.9789, 2.9424, 50.1827, -3.93631, -224.764, -147.178, 69.1295, 2692.87
18.3121, 2.64194, 14.1448, -1.52666, -224.764, -144.213, 71.7714, 2730.24
26.1811, 2.88103, 56.9518, -4.26736, -224.764, -140.98, 74.6524, 2894.32
18.0471, 2.70588, 12.131, -1.34716, -224.764, -137.943, 77.3583, 2927.14
22.4361, 2.66898, 36.9359, -3.19429, -224.764, -134.947, 80.0273, 3025.72
18.0845, 2.94161, 10.2824, -1.14363, -224.764, -131.646, 82.9689, 3055.97
22.761, 2.57079, 35.8098, -3.22852, -224.764, -128.76, 85.5397, 3148.03
22.2837, 2.9048, 34.9334, -3.08181, -224.764, -125.5, 88.4445, 3249.5
26.4654, 2.86565, 58.6737, -4.35154, -224.764, -122.284, 91.3101, 3417.64
18.5743, 2.69386, 10.6494, -1.17532, -224.764, -119.261, 94.004, 3446.33
19.3273, 2.84609, 17.1032, -1.76862, -224.764, -116.067, 96.8501, 3495.01
25.8357, 2.62944, 55.4434, -4.19443, -224.764, -113.115, 99.4795, 3640.79
25.6765, 2.88475, 54.3951, -4.19085, -224.764, -109.878, 102.364, 3797.71
25.9417, 2.65071, 49.1316, -0.891154, -224.764, -106.903, 105.015, 3927.94
17.1413, 2.73295, 11.7213, -1.319, -224.764, -103.836, 107.748, 3959.98
18.7202, 2.83337, 14.3143, -1.55166, -224.764, -100.656, 110.581, 4000.53
22.1286, 2.84093, 34.3751, -3.04993, -224.764, -97.4673, 113.422, 4098.19
18.5493, 2.88985, 10.2101, -1.18286, -224.764, -94.2239, 116.312, 4127.7
19.8295, 2.69591, 14.4102, -1.62739, -224.764, -91.1982, 119.008, 4166.54
22.7733, 2.84687, 38.7088, -3.36084, -224.764, -88.0031, 121.855, 4276.74
27.3211, 2.72917, 64.8368, -4.60779, -224.764, -84.9401, 124.584, 4453.69
17.8453, 2.64846, 14.4961, -1.57254, -224.764, -81.9677, 127.233, 4492.09
36.0567, 2.93322, 66.1335, -3.3688, -224.764, -78.6756, 130.166, 4686.07
27.6621, 2.65863, 66.3773, -4.66377, -224.764, -75.6918, 132.824, 4862.54
28.2227, 2.8742, 67.902, -4.72599, -224.764, -72.466, 135.699, 5057.71
42.1265, 2.9504, 90.8245, -4.94717, -224.764, -69.1547, 138.649, 5325.68
18.6192, 2.74173, 15.2545, -1.63466, -224.764, -66.0776, 141.391, 5367.5
20.0441, 2.66634, 22.7504, -2.2758, -224.764, -63.0851, 144.057, 5428.16
28.322, 3.06948, 43.7907, -1.82254, -224.764, -59.6402, 147.127, 5562.57
31.2685, 2.53226, 50.2192, -2.57994, -224.764, -56.7982, 149.659, 5689.74
25.2805, 2.90616, 49.6813, -3.93108, -224.764, -53.5365, 152.565, 5834.12
24.9898, 2.64356, 40.6458, -0.733533, -224.764, -50.5696, 155.208, 5941.57
34.2728, 2.70515, 58.4126, -3.22531, -224.764, -47.5335, 157.914, 6099.59
34.7146, 2.87203, 59.948, -3.27644, -224.764, -44.3102, 160.786, 6271.76
35.2784, 2.79421, 61.5597, -3.38317, -224.764, -41.1742, 163.58, 6443.77
21.8491, 2.84918, 32.7482, -2.97922, -224.764, -37.9765, 166.429, 6537.08
33.3796, 2.71394, 57.0223, -2.82353, -224.764, -34.9305, 169.143, 6691.83
26.3873, 2.84488, 52.7152, -4.08298, -224.764, -31.7377, 171.988, 6841.8
22.0405, 2.69949, 35.1337, -3.14022, -224.764, -28.708, 174.687, 6936.64
21.6785, 2.88154, 32.4076, -2.94171, -224.764, -25.4739, 177.569, 7030.03
18.0459, 2.68157, 8.87549, -1.03488, -224.764, -22.4643, 180.25, 7053.83
18.3813, 2.91579, 14.4017, -1.5459, -224.764, -19.1919, 183.166, 7095.82
18.3561, 2.62772, 14.4395, -1.56829, -224.764, -16.2427, 185.794, 7133.76
27.1929, 2.80894, 45.8891, -1.36108, -224.764, -13.0902, 188.603, 7262.66
22.7522, 2.83918, 38.6382, -3.34085, -224.764, -9.90372, 191.442, 7372.36
18.4048, 2.75078, 14.8707, -1.61859, -224.764, -6.81646, 194.193, 7413.27
26.4079, 2.83187, 44.1769, -1.17655, -224.764, -3.63818, 197.025, 7538.37
18.953, 2.88985, 19.3414, -2.02616, -224.764, -0.394836, 199.915, 7594.27
25.7809, 2.74122, 56.6628, -4.30404, -224.764, 2.6817, 202.656, 7749.59
30.7008, 2.88164, 50.2612, -2.25947, -224.764, 5.91582, 205.537, 7894.43
23.394, 2.6738, 41.7615, -3.53435, -224.764, 8.9167, 208.211, 8006.09
31.1961, 2.81218, 48.9894, -2.53846, -224.764, 12.0729, 211.023, 8143.86
27.7847, 2.73822, 40.0131, -1.6641, -224.764, 15.146, 213.762, 8253.42
28.2384, 2.7336, 42.8295, -1.74686, -224.764, 18.214, 216.495, 8370.5
20.4762, 2.88379, 26.8782, -2.59005, -224.764, 21.4506, 219.379, 8448.01
16.9523, 2.92785, 9.04425, -1.06055, -224.764, 24.7366, 222.307, 8474.49
17.331, 2.61636, 8.27676, -1.0231, -224.764, 27.673, 224.923, 8496.15
29.4225, 2.90243, 44.128, -2.10185, -224.764, 30.9304, 227.826, 8624.22
20.7887, 2.70576, 26.1087, -2.56113, -224.764, 33.9672, 230.531, 8694.87
20.5835, 2.68087, 26.0078, -2.48938, -224.764, 36.976, 233.212, 8764.59
17.3092, 2.83092, 8.39925, -0.979819, -224.764, 40.1532, 236.043, 8788.37
20.6419, 2.81422, 25.7913, -2.49335, -224.764, 43.3117, 238.857, 8860.95
18.1837, 2.65108, 12.2795, -1.36201, -224.764, 46.287, 241.509, 8893.51
17.643, 2.87961, 9.26849, -1.09545, -224.764, 49.5189, 244.388, 8920.2
26.5912, 2.8691, 39.815, -1.30148, -224.764, 52.7389, 247.257, 9034.43
22.1371, 2.71595, 37.0667, -3.30079, -224.764, 55.7871, 249.973, 9135.1
25.8661, 2.8861, 57.134, -4.29251, -224.764, 59.0263, 252.859, 9299.99
23.0976, 2.77693, 39.7347, -3.43554, -224.764, 62.1429, 255.636, 9410.34
27.3198, 2.7868, 65.3062, -4.67516, -224.764, 65.2706, 258.423, 9592.33
36.4638, 2.82544, 62.0716, -3.96158, -224.764, 68.4416, 261.249, 9767.71
18.04, 2.78425, 10.0613, -1.23187, -224.764, 71.5664, 264.033, 9795.72
22.3226, 2.94284, 36.7599, -3.25821, -224.764, 74.8693, 266.976, 9903.9
18.4563, 2.85374, 17.4039, -1.86124, -224.764, 78.0721, 269.829, 9953.57
18.9422, 2.66934, 20.5154, -2.1003, -224.764, 81.0679, 272.499, 10008.3
20.1993, 2.73814, 17.4174, -1.91111, -224.764, 84.141, 275.237, 10056
19.5526, 2.89859, 22.3858, -2.29523, -224.764, 87.3942, 278.135, 10120.9
20.2719, 2.69164, 23.5079, -2.31764, -224.764, 90.4151, 280.827, 10184.2
19.9164, 2.86104, 22.9042, -2.28815, -224.764, 93.6261, 283.688, 10249.7
22.7629, 2.70676, 40.0644, -3.43894, -224.764, 96.6639, 286.395, 10358.2
17.0187, 2.85392, 8.07835, -0.961492, -224.764, 99.867, 289.249, 10381.2
20.3587, 2.66854, 24.9396, -2.43252, -224.764, 102.862, 291.917, 10447.8
29.8399, 2.68867, 44.8495, -2.2184, -224.764, 105.879, 294.606, 10568.4
22.0508, 2.75347, 35.0605, -3.13934, -224.764, 108.97, 297.359, 10664.9
26.3525, 2.76075, 38.4077, -1.26518, -224.764, 112.068, 300.12, 10770.9
17.4397, 2.77704, 9.8544, -1.16012, -224.764, 115.185, 302.897, 10798.3
19.4125, 2.69459, 20.0483, -2.06925, -224.764, 118.209, 305.592, 10852.3
26.0519, 2.61291, 41.7593, -1.04122, -224.764, 121.142, 308.205, 10961.4
26.5947, 3.02744, 63.5299, -4.64243, -224.764, 124.539, 311.232, 11153.8
22.714, 2.4754, 38.4228, -3.37208, -224.764, 127.318, 313.708, 11248.9
18.4983, 2.9794, 15.8519, -1.72997, -224.764, 130.662, 316.687, 11296.1
28.315, 2.74044, 41.9402, -1.80705, -224.764, 133.737, 319.427, 11411
19.4208, 2.69094, 19.6966, -2.03247, -224.764, 136.757, 322.118, 11464
29.1475, 2.68754, 43.2358, -2.11767, -224.764, 139.774, 324.806, 11580.2
20.1021, 2.70006, 26.0625, -2.48902, -224.764, 142.804, 327.506, 11650.6
18.1483, 2.78484, 13.912, -1.54495, -224.764, 145.929, 330.291, 11689.3
19.658, 2.66055, 22.8045, -2.32662, -224.764, 148.915, 332.951, 11750
32.3203, 2.80858, 52.1949, -2.86124, -224.764, 152.068, 335.76, 11896.6
